U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 1959 to 2023
Data Extracted on: May 2, 2023 (10:54 am)

Period,Value
Jan-1959,NA
Feb-1959,NA
Mar-1959,NA
Apr-1959,NA
May-1959,NA
Jun-1959,NA
Jul-1959,NA
Aug-1959,NA
Sep-1959,NA
Oct-1959,NA
Nov-1959,NA
Dec-1959,NA
Jan-1960,1092
Feb-1960,1088
Mar-1960,955
Apr-1960,1016
May-1960,1052
Jun-1960,958
Jul-1960,999
Aug-1960,994
Sep-1960,984
Oct-1960,972
Nov-1960,979
Dec-1960,951
Jan-1961,969
Feb-1961,961
Mar-1961,1000
Apr-1961,1002
May-1961,1027
Jun-1961,1070
Jul-1961,1083
Aug-1961,1159
Sep-1961,1098
Oct-1961,1123
Nov-1961,1152
Dec-1961,1161
Jan-1962,1122
Feb-1962,1194
Mar-1962,1134
Apr-1962,1235
May-1962,1142
Jun-1962,1154
Jul-1962,1189
Aug-1962,1200
Sep-1962,1223
Oct-1962,1181
Nov-1962,1236
Dec-1962,1236
Jan-1963,1248
Feb-1963,1212
Mar-1963,1258
Apr-1963,1288
May-1963,1350
Jun-1963,1345
Jul-1963,1321
Aug-1963,1310
Sep-1963,1413
Oct-1963,1414
Nov-1963,1357
Dec-1963,1423
Jan-1964,1296
Feb-1964,1442
Mar-1964,1313
Apr-1964,1264
May-1964,1299
Jun-1964,1280
Jul-1964,1304
Aug-1964,1306
Sep-1964,1265
Oct-1964,1230
Nov-1964,1254
Dec-1964,1164
Jan-1965,1264
Feb-1965,1185
Mar-1965,1211
Apr-1965,1162
May-1965,1207
Jun-1965,1241
Jul-1965,1237
Aug-1965,1249
Sep-1965,1227
Oct-1965,1279
Nov-1965,1306
Dec-1965,1315
Jan-1966,1325
Feb-1966,1159
Mar-1966,1234
Apr-1966,1145
May-1966,1078
Jun-1966,956
Jul-1966,932
Aug-1966,877
Sep-1966,774
Oct-1966,739
Nov-1966,736
Dec-1966,743
Jan-1967,995
Feb-1967,907
Mar-1967,955
Apr-1967,1035
May-1967,1076
Jun-1967,1169
Jul-1967,1177
Aug-1967,1229
Sep-1967,1279
Oct-1967,1280
Nov-1967,1297
Dec-1967,1315
Jan-1968,1179
Feb-1968,1342
Mar-1968,1370
Apr-1968,1286
May-1968,1297
Jun-1968,1300
Jul-1968,1344
Aug-1968,1357
Sep-1968,1464
Oct-1968,1421
Nov-1968,1436
Dec-1968,1389
Jan-1969,1459
Feb-1969,1495
Mar-1969,1438
Apr-1969,1441
May-1969,1328
Jun-1969,1349
Jul-1969,1278
Aug-1969,1317
Sep-1969,1263
Oct-1969,1216
Nov-1969,1191
Dec-1969,1155
Jan-1970,1062
Feb-1970,1118
Mar-1970,1132
Apr-1970,1224
May-1970,1328
Jun-1970,1322
Jul-1970,1324
Aug-1970,1394
Sep-1970,1426
Oct-1970,1564
Nov-1970,1502
Dec-1970,1767
Jan-1971,1643
Feb-1971,1588
Mar-1971,1759
Apr-1971,1745
May-1971,1972
Jun-1971,1903
Jul-1971,2069
Aug-1971,2004
Sep-1971,1996
Oct-1971,2026
Nov-1971,2079
Dec-1971,2133
Jan-1972,2238
Feb-1972,2169
Mar-1972,2105
Apr-1972,2139
May-1972,2067
Jun-1972,2183
Jul-1972,2195
Aug-1972,2263
Sep-1972,2393
Oct-1972,2354
Nov-1972,2234
Dec-1972,2419
Jan-1973,2271
Feb-1973,2226
Mar-1973,2062
Apr-1973,1908
May-1973,1931
Jun-1973,2051
Jul-1973,1819
Aug-1973,1809
Sep-1973,1704
Oct-1973,1411
Nov-1973,1402
Dec-1973,1288
Jan-1974,1331
Feb-1974,1360
Mar-1974,1440
Apr-1974,1254
May-1974,1138
Jun-1974,1086
Jul-1974,1002
Aug-1974,917
Sep-1974,840
Oct-1974,824
Nov-1974,783
Dec-1974,869
Jan-1975,726
Feb-1975,729
Mar-1975,709
Apr-1975,866
May-1975,914
Jun-1975,946
Jul-1975,1020
Aug-1975,994
Sep-1975,1064
Oct-1975,1096
Nov-1975,1110
Dec-1975,1091
Jan-1976,1195
Feb-1976,1190
Mar-1976,1164
Apr-1976,1132
May-1976,1194
Jun-1976,1188
Jul-1976,1245
Aug-1976,1309
Sep-1976,1481
Oct-1976,1425
Nov-1976,1531
Dec-1976,1511
Jan-1977,1466
Feb-1977,1560
Mar-1977,1660
Apr-1977,1660
May-1977,1668
Jun-1977,1752
Jul-1977,1687
Aug-1977,1780
Sep-1977,1674
Oct-1977,1758
Nov-1977,1771
Dec-1977,1754
Jan-1978,1740
Feb-1978,1736
Mar-1978,1799
Apr-1978,1948
May-1978,1766
Jun-1978,1983
Jul-1978,1786
Aug-1978,1691
Sep-1978,1751
Oct-1978,1781
Nov-1978,1795
Dec-1978,1818
Jan-1979,1461
Feb-1979,1492
Mar-1979,1720
Apr-1979,1597
May-1979,1684
Jun-1979,1640
Jul-1979,1534
Aug-1979,1591
Sep-1979,1638
Oct-1979,1481
Nov-1979,1276
Dec-1979,1254
Jan-1980,1280
Feb-1980,1199
Mar-1980,988
Apr-1980,808
May-1980,861
Jun-1980,1118
Jul-1980,1259
Aug-1980,1367
Sep-1980,1484
Oct-1980,1366
Nov-1980,1383
Dec-1980,1249
Jan-1981,1221
Feb-1981,1199
Mar-1981,1183
Apr-1981,1190
May-1981,1173
Jun-1981,976
Jul-1981,935
Aug-1981,889
Sep-1981,847
Oct-1981,731
Nov-1981,748
Dec-1981,796
Jan-1982,794
Feb-1982,808
Mar-1982,891
Apr-1982,888
May-1982,953
Jun-1982,913
Jul-1982,1044
Aug-1982,926
Sep-1982,1042
Oct-1982,1149
Nov-1982,1229
Dec-1982,1351
Jan-1983,1426
Feb-1983,1471
Mar-1983,1475
Apr-1983,1566
May-1983,1669
Jun-1983,1769
Jul-1983,1795
Aug-1983,1713
Sep-1983,1585
Oct-1983,1716
Nov-1983,1668
Dec-1983,1627
Jan-1984,1816
Feb-1984,1987
Mar-1984,1725
Apr-1984,1776
May-1984,1741
Jun-1984,1814
Jul-1984,1605
Aug-1984,1530
Sep-1984,1523
Oct-1984,1490
Nov-1984,1643
Dec-1984,1626
Jan-1985,1660
Feb-1985,1662
Mar-1985,1727
Apr-1985,1664
May-1985,1709
Jun-1985,1716
Jul-1985,1697
Aug-1985,1808
Sep-1985,1916
Oct-1985,1743
Nov-1985,1692
Dec-1985,1794
Jan-1986,1847
Feb-1986,1767
Mar-1986,1780
Apr-1986,1858
May-1986,1797
Jun-1986,1790
Jul-1986,1780
Aug-1986,1726
Sep-1986,1686
Oct-1986,1675
Nov-1986,1644
Dec-1986,1903
Jan-1987,1690
Feb-1987,1689
Mar-1987,1704
Apr-1987,1601
May-1987,1500
Jun-1987,1522
Jul-1987,1516
Aug-1987,1511
Sep-1987,1514
Oct-1987,1447
Nov-1987,1457
Dec-1987,1345
Jan-1988,1244
Feb-1988,1438
Mar-1988,1525
Apr-1988,1429
May-1988,1444
Jun-1988,1485
Jul-1988,1439
Aug-1988,1460
Sep-1988,1436
Oct-1988,1516
Nov-1988,1508
Dec-1988,1501
Jan-1989,1466
Feb-1989,1383
Mar-1989,1214
Apr-1989,1376
May-1989,1381
Jun-1989,1322
Jul-1989,1283
Aug-1989,1334
Sep-1989,1314
Oct-1989,1365
Nov-1989,1344
Dec-1989,1422
Jan-1990,1748
Feb-1990,1329
Mar-1990,1246
Apr-1990,1136
May-1990,1067
Jun-1990,1108
Jul-1990,1078
Aug-1990,1069
Sep-1990,976
Oct-1990,925
Nov-1990,941
Dec-1990,861
Jan-1991,786
Feb-1991,853
Mar-1991,911
Apr-1991,916
May-1991,991
Jun-1991,964
Jul-1991,973
Aug-1991,944
Sep-1991,974
Oct-1991,991
Nov-1991,984
Dec-1991,1061
Jan-1992,1077
Feb-1992,1146
Mar-1992,1082
Apr-1992,1054
May-1992,1056
Jun-1992,1057
Jul-1992,1089
Aug-1992,1075
Sep-1992,1114
Oct-1992,1132
Nov-1992,1118
Dec-1992,1176
Jan-1993,1177
Feb-1993,1148
Mar-1993,1056
Apr-1993,1104
May-1993,1112
Jun-1993,1130
Jul-1993,1174
Aug-1993,1230
Sep-1993,1251
Oct-1993,1287
Nov-1993,1357
Dec-1993,1461
Jan-1994,1390
Feb-1994,1269
Mar-1994,1342
Apr-1994,1392
May-1994,1396
Jun-1994,1357
Jul-1994,1335
Aug-1994,1377
Sep-1994,1412
Oct-1994,1397
Nov-1994,1340
Dec-1994,1396
Jan-1995,1282
Feb-1995,1254
Mar-1995,1226
Apr-1995,1259
May-1995,1271
Jun-1995,1305
Jul-1995,1354
Aug-1995,1386
Sep-1995,1421
Oct-1995,1400
Nov-1995,1430
Dec-1995,1442
Jan-1996,1387
Feb-1996,1420
Mar-1996,1437
Apr-1996,1463
May-1996,1457
Jun-1996,1429
Jul-1996,1450
Aug-1996,1413
Sep-1996,1392
Oct-1996,1358
Nov-1996,1412
Dec-1996,1411
Jan-1997,1382
Feb-1997,1445
Mar-1997,1436
Apr-1997,1421
May-1997,1414
Jun-1997,1402
Jul-1997,1440
Aug-1997,1449
Sep-1997,1494
Oct-1997,1499
Nov-1997,1469
Dec-1997,1456
Jan-1998,1555
Feb-1998,1647
Mar-1998,1605
Apr-1998,1547
May-1998,1554
Jun-1998,1551
Jul-1998,1610
Aug-1998,1654
Sep-1998,1577
Oct-1998,1719
Nov-1998,1672
Dec-1998,1742
Jan-1999,1732
Feb-1999,1720
Mar-1999,1665
Apr-1999,1600
May-1999,1640
Jun-1999,1702
Jul-1999,1682
Aug-1999,1671
Sep-1999,1551
Oct-1999,1649
Nov-1999,1672
Dec-1999,1683
Jan-2000,1727
Feb-2000,1692
Mar-2000,1651
Apr-2000,1597
May-2000,1543
Jun-2000,1572
Jul-2000,1542
Aug-2000,1552
Sep-2000,1570
Oct-2000,1577
Nov-2000,1614
Dec-2000,1543
Jan-2001,1699
Feb-2001,1656
Mar-2001,1659
Apr-2001,1666
May-2001,1665
Jun-2001,1626
Jul-2001,1598
Aug-2001,1615
Sep-2001,1565
Oct-2001,1566
Nov-2001,1651
Dec-2001,1680
Jan-2002,1665
Feb-2002,1787
Mar-2002,1691
Apr-2002,1669
May-2002,1716
Jun-2002,1758
Jul-2002,1738
Aug-2002,1695
Sep-2002,1803
Oct-2002,1799
Nov-2002,1771
Dec-2002,1896
Jan-2003,1808
Feb-2003,1854
Mar-2003,1757
Apr-2003,1803
May-2003,1835
Jun-2003,1875
Jul-2003,1885
Aug-2003,1966
Sep-2003,1961
Oct-2003,2012
Nov-2003,1918
Dec-2003,1987
Jan-2004,1952
Feb-2004,1966
Mar-2004,2066
Apr-2004,2070
May-2004,2150
Jun-2004,2020
Jul-2004,2112
Aug-2004,2056
Sep-2004,2041
Oct-2004,2097
Nov-2004,2079
Dec-2004,2082
Jan-2005,2139
Feb-2005,2114
Mar-2005,2062
Apr-2005,2150
May-2005,2085
Jun-2005,2178
Jul-2005,2203
Aug-2005,2219
Sep-2005,2263
Oct-2005,2170
Nov-2005,2218
Dec-2005,2120
Jan-2006,2212
Feb-2006,2141
Mar-2006,2118
Apr-2006,1998
May-2006,1905
Jun-2006,1867
Jul-2006,1763
Aug-2006,1722
Sep-2006,1655
Oct-2006,1570
Nov-2006,1535
Dec-2006,1638
Jan-2007,1626
Feb-2007,1598
Mar-2007,1596
Apr-2007,1470
May-2007,1493
Jun-2007,1407
Jul-2007,1361
Aug-2007,1321
Sep-2007,1261
Oct-2007,1192
Nov-2007,1224
Dec-2007,1149
Jan-2008,1094
Feb-2008,1014
Mar-2008,967
Apr-2008,1008
May-2008,995
Jun-2008,1180
Jul-2008,921
Aug-2008,858
Sep-2008,797
Oct-2008,736
Nov-2008,626
Dec-2008,554
Jan-2009,545
Feb-2009,558
Mar-2009,513
Apr-2009,521
May-2009,556
Jun-2009,601
Jul-2009,595
Aug-2009,616
Sep-2009,609
Oct-2009,583
Nov-2009,623
Dec-2009,664
Jan-2010,636
Feb-2010,650
Mar-2010,687
Apr-2010,637
May-2010,575
Jun-2010,587
Jul-2010,579
Aug-2010,580
Sep-2010,563
Oct-2010,558
Nov-2010,560
Dec-2010,632
Jan-2011,576
Feb-2011,542
Mar-2011,583
Apr-2011,581
May-2011,618
Jun-2011,636
Jul-2011,621
Aug-2011,647
Sep-2011,610
Oct-2011,671
Nov-2011,706
Dec-2011,697
Jan-2012,712
Feb-2012,738
Mar-2012,806
Apr-2012,732
May-2012,796
Jun-2012,794
Jul-2012,849
Aug-2012,840
Sep-2012,930
Oct-2012,887
Nov-2012,917
Dec-2012,941
Jan-2013,940
Feb-2013,980
Mar-2013,936
Apr-2013,1012
May-2013,1003
Jun-2013,942
Jul-2013,997
Aug-2013,964
Sep-2013,1004
Oct-2013,1044
Nov-2013,1029
Dec-2013,1005
Jan-2014,976
Feb-2014,1039
Mar-2014,1067
Apr-2014,1090
May-2014,1018
Jun-2014,1010
Jul-2014,1076
Aug-2014,1047
Sep-2014,1077
Oct-2014,1094
Nov-2014,1059
Dec-2014,1072
Jan-2015,1049
Feb-2015,1127
Mar-2015,1072
Apr-2015,1166
May-2015,1272
Jun-2015,1379
Jul-2015,1140
Aug-2015,1165
Sep-2015,1144
Oct-2015,1160
Nov-2015,1244
Dec-2015,1211
Jan-2016,1171
Feb-2016,1172
Mar-2016,1118
Apr-2016,1160
May-2016,1205
Jun-2016,1208
Jul-2016,1198
Aug-2016,1201
Sep-2016,1303
Oct-2016,1254
Nov-2016,1230
Dec-2016,1248
Jan-2017,1301
Feb-2017,1243
Mar-2017,1290
Apr-2017,1252
May-2017,1205
Jun-2017,1348
Jul-2017,1254
Aug-2017,1322
Sep-2017,1266
Oct-2017,1350
Nov-2017,1290
Dec-2017,1304
Jan-2018,1314
Feb-2018,1342
Mar-2018,1402
Apr-2018,1388
May-2018,1339
Jun-2018,1334
Jul-2018,1338
Aug-2018,1275
Sep-2018,1301
Oct-2018,1268
Nov-2018,1325
Dec-2018,1307
Jan-2019,1253
Feb-2019,1311
Mar-2019,1317
Apr-2019,1330
May-2019,1349
Jun-2019,1303
Jul-2019,1363
Aug-2019,1485
Sep-2019,1461
Oct-2019,1520
Nov-2019,1497
Dec-2019,1439
Jan-2020,1493
Feb-2020,1457
Mar-2020,1383
Apr-2020,1084
May-2020,1256
Jun-2020,1338
Jul-2020,1553
Aug-2020,1520
Sep-2020,1614
Oct-2020,1599
Nov-2020,1682
Dec-2020,1730
Jan-2021,1843
Feb-2021,1743
Mar-2021,1773
Apr-2021,1765
May-2021,1691
Jun-2021,1661
Jul-2021,1655
Aug-2021,1772
Sep-2021,1615
Oct-2021,1698
Nov-2021,1729
Dec-2021,1896
Jan-2022,1841
Feb-2022,1857
Mar-2022,1879
Apr-2022,1823
May-2022,1695
Jun-2022,1696
Jul-2022,1685
Aug-2022,1542
Sep-2022,1564
Oct-2022,1512
Nov-2022,1351
Dec-2022,1337
Jan-2023,1339
Feb-2023,1550
Mar-2023,1430
Apr-2023,NA
May-2023,NA
Jun-2023,NA
Jul-2023,NA
Aug-2023,NA
Sep-2023,NA
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
